,City Name,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
0,Thompson,75,CA,1602092500,86,55.74,-97.86,274.15,6.2
1,Kapaa,20,US,1602092500,78,22.08,-159.32,300.15,5.1
2,George Town,40,MY,1602092760,100,5.41,100.34,297.15,1.0
3,Busselton,10,AU,1602092852,85,-33.65,115.33,284.26,4.32
4,Mar del Plata,0,AR,1602092853,34,-38.0,-57.56,291.15,6.7
5,Truckee,5,US,1602092754,36,39.33,-120.18,292.04,2.35
6,Batemans Bay,100,AU,1602092853,98,-35.72,150.18,289.82,0.45
7,Şabyā,0,SA,1602092770,75,17.15,42.63,305.15,4.1
8,Ternate,100,ID,1602092853,83,0.8,127.4,299.17,1.64
9,Avarua,91,CK,1602092853,64,-21.21,-159.78,296.15,6.7
10,Prince Rupert,75,CA,1602092734,93,54.32,-130.32,282.15,1.0
11,Bredasdorp,98,ZA,1602092854,77,-34.53,20.04,290.15,2.6
12,Rikitea,100,PF,1602092854,81,-23.12,-134.97,296.17,3.46
13,Hobart,90,AU,1602092695,76,-42.88,147.33,284.26,3.1
14,Albany,45,US,1602092854,69,42.6,-73.97,290.37,6.25
15,Virginia Beach,0,US,1602092641,53,36.85,-75.98,300.37,0.45
16,Laas,75,IT,1602092855,75,46.62,10.7,283.71,2.6
17,Pemberton,20,CA,1602092717,93,50.32,-122.8,285.15,0.19
18,Kieta,80,PG,1602092855,77,-6.22,155.63,298.47,1.77
19,Hilo,90,US,1602092855,83,19.73,-155.09,296.15,3.1
20,Boa Vista,75,BR,1602092855,62,2.82,-60.67,303.15,3.6
21,Castro,61,BR,1602092673,31,-24.79,-50.01,305.42,5.08
22,Tocopilla,10,CL,1602092856,47,-22.09,-70.2,293.72,4.82
23,Saldanha,0,ZA,1602092612,72,-33.01,17.94,289.15,7.2
24,Lebu,80,CL,1602092856,61,-37.62,-73.65,284.99,4.8
25,Alta Floresta,71,BR,1602092856,21,-9.88,-56.09,312.54,0.69
26,Kavieng,90,PG,1602092856,72,-2.57,150.8,300.96,3.36
27,Safford,1,US,1602092857,8,32.83,-109.71,301.15,1.5
28,Mataura,86,NZ,1602092857,91,-46.19,168.86,277.59,0.75
29,Killybegs,90,IE,1602092857,100,54.63,-8.45,285.15,2.6
30,East London,0,ZA,1602092636,88,-33.02,27.91,293.15,3.1
31,Betafo,59,MG,1602092858,63,-19.83,46.85,290.22,1.4
32,Pekalongan,10,ID,1602092858,74,-6.89,109.68,298.58,2.64
33,Bethel,1,US,1602092858,56,41.37,-73.41,293.15,5.7
34,Hasaki,75,JP,1602092858,93,35.73,140.83,288.15,2.6
35,Gazimurskiy Zavod,70,RU,1602092858,92,51.55,118.33,271.92,1.73
36,Ushuaia,75,AR,1602092501,65,-54.8,-68.3,278.15,10.3
37,Tasiilaq,75,GL,1602092859,69,65.61,-37.64,277.15,2.1
38,Cabo San Lucas,20,MX,1602092845,52,22.89,-109.91,307.59,1.5
39,Narsaq,75,GL,1602092666,79,60.92,-46.05,273.15,0.5
40,Iberia,90,US,1602092859,83,29.95,-91.75,300.93,3.1
41,Dikson,100,RU,1602092859,96,73.51,80.55,276.08,10.46
42,Jamestown,90,US,1602092808,87,42.1,-79.24,289.82,6.7
43,Paamiut,100,GL,1602092860,72,61.99,-49.67,275.01,3.71
44,Nikolskoye,90,RU,1602092612,93,59.7,30.79,286.15,2.0
45,Puerto Ayora,20,EC,1602092583,61,-0.74,-90.35,298.15,7.7
46,Puerto Colombia,40,CO,1602092860,70,10.99,-74.95,305.15,2.1
47,Magay,75,PH,1602092860,94,10.47,124.01,299.15,1.5
48,Acajutla,40,SV,1602092860,74,13.59,-89.83,301.15,3.1
49,Carballo,75,ES,1602092861,82,43.21,-8.69,291.15,2.1
50,Kaeo,72,NZ,1602092861,79,-35.1,173.78,285.37,1.34
51,Flinders,100,AU,1602092861,93,-34.58,150.86,290.93,0.89
52,Cap Malheureux,8,MU,1602092861,84,-19.98,57.61,297.04,2.24
53,Port Elizabeth,75,ZA,1602092820,93,-33.92,25.57,291.15,4.6
54,Ponta do Sol,75,PT,1602092620,78,32.67,-17.1,296.15,2.6
55,Cape Town,75,ZA,1602092568,77,-33.93,18.42,290.37,9.3
56,Thunder Bay,75,CA,1602092862,58,48.4,-89.32,285.15,5.1
57,Saint-Philippe,31,RE,1602092500,83,-21.36,55.77,296.15,1.0
58,Kisangani,100,CD,1602092862,97,0.52,25.2,292.88,0.89
